feature,mean_abs_shap,std_abs_shap,max_abs_shap,sum_abs_shap,num_folds_present
MYO15B (80022),2.3426108756516473e-05,,2.3426108756516473e-05,2.3426108756516473e-05,1
MAGEC2 (51438),2.3421922303313856e-05,,2.3421922303313856e-05,2.3421922303313856e-05,1
MYEF2 (50804),2.329301928789872e-05,,2.329301928789872e-05,2.329301928789872e-05,1
SLC1A3 (6507),2.3273780052523902e-05,,2.3273780052523902e-05,2.3273780052523902e-05,1
FAM171A1 (221061),2.324120571637036e-05,,2.324120571637036e-05,2.324120571637036e-05,1
C6orf132 (647024),2.316703015707625e-05,,2.316703015707625e-05,2.316703015707625e-05,1
RBPMS (11030),2.3158368746292328e-05,,2.3158368746292328e-05,2.3158368746292328e-05,1
TUBA4A (7277),2.3059974268603907e-05,,2.3059974268603907e-05,2.3059974268603907e-05,1
HR (55806),2.3057990490161393e-05,,2.3057990490161393e-05,2.3057990490161393e-05,1
GOLGA8A (23015),2.3042723940897274e-05,,2.3042723940897274e-05,2.3042723940897274e-05,1
IFITM2 (10581),2.2990353978433176e-05,,2.2990353978433176e-05,2.2990353978433176e-05,1
DENND2D (79961),2.2987542857777585e-05,,2.2987542857777585e-05,2.2987542857777585e-05,1
LRP12 (29967),2.290754513054946e-05,,2.290754513054946e-05,2.290754513054946e-05,1
TNS3 (64759),2.2770046382678094e-05,,2.2770046382678094e-05,2.2770046382678094e-05,1
IFI6 (2537),2.2762552148900233e-05,,2.2762552148900233e-05,2.2762552148900233e-05,1
LAMA4 (3910),2.274167833022231e-05,,2.274167833022231e-05,2.274167833022231e-05,1
CRABP1 (1381),2.273904297044836e-05,,2.273904297044836e-05,2.273904297044836e-05,1
MEF2C (4208),2.2711550797948927e-05,,2.2711550797948927e-05,2.2711550797948927e-05,1
KRT13 (3860),2.2697270903048054e-05,,2.2697270903048054e-05,2.2697270903048054e-05,1
SNAP25 (6616),2.2666888976095983e-05,,2.2666888976095983e-05,2.2666888976095983e-05,1
KIF1A (547),2.2605925941868475e-05,,2.2605925941868475e-05,2.2605925941868475e-05,1
PKP2 (5318),2.253679583758796e-05,,2.253679583758796e-05,2.253679583758796e-05,1
CADM4 (199731),2.244824915689854e-05,,2.244824915689854e-05,2.244824915689854e-05,1
ZNF185 (7739),2.244615518476803e-05,,2.244615518476803e-05,2.244615518476803e-05,1
MYCN (4613),2.2370869107037573e-05,,2.2370869107037573e-05,2.2370869107037573e-05,1
CD59 (966),2.2120890390228797e-05,,2.2120890390228797e-05,2.2120890390228797e-05,1
CPQ (10404),2.2116302176645325e-05,,2.2116302176645325e-05,2.2116302176645325e-05,1
FERMT3 (83706),2.20776118848946e-05,,2.20776118848946e-05,2.20776118848946e-05,1
